Año,Concepto,Presupuesto,Liquidación
2013,Inversiones en reposición de infra. destinados al uso general,10000.00,322019.35
2013,Inversión nueva asociada al funcio. operativo de los servicios,71000.00,103493.91
2013,Inversión de reposición asoc al funcio operativo de los servicios,28706.00,30475.37
2013,Gastos e inversiones de carácter inmaterial,0.00,0.00
2013,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2013,A la Administración del Estado,0.00,0.00
2013,A la Administración general de la CCAA,0.00,0.00
2013,Vehículos,0.00,0.00
2013,Concesión de préstamos fuera del sector primario,16000.00,13556.22
2013,Adquisición de acciones y participaciones fuera del sector público,0.00,610.00
2013,Amortización de ope. Y prestamos en curso,566434.35,566507.28
2012,Órganos de gobierno personal directivo,94556.56,87802.52
2012,Personal funcionario,1149373.78,971592.56
2012,Personal laboral,2072927.67,2164343.51
2012,Incentivos al rendimiento,126207.20,9068.28
2012,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1092334.72,1053934.53
2012,Arrendamientos y cánones,15800.00,18013.47
2012,"Reparaciones, mantenimientos y conservación",266100.00,229348.46
2012,"Material, suministros y otros",3357157.00,3072113.61
2012,Indemnizaciones por razón de servicio,43300.00,30509.58
2012,Gastos de edición y distribución,0.00,0.00
2012,Trasbajos realizados por AAPP. Y EEPP,0.00,0.00
2012,Trabajos realizados por instituciones sin fines de lucro,97600.00,95681.00
2012,De préstamos y otras operaciones financieras,213179.94,167944.14
2012,Intereses de demora y otros gastos financieros,30000.00,8706.62
2012,A la Administración del Estado,40000.00,10669.91
2012,A entidades locales,759300.00,734076.30
2012,A empresas privadas,0.00,0.00
2012,A familias e instituciones sin ánimo de lucro,249770.00,208837.96
2012,Al exterior,3000.00,0.00
2012,Fondo de contingencia,0.00,0.00
2012,Inversión nueva en bienes e infraestructuras de interés general,10000.00,0.00
2012,Inversiones en reposición de infra. destinados al uso general,62500.00,24563.00
2012,Inversión nueva asociada al funcio. operativo de los servicios,106000.00,42102.89
2012,Inversión de reposición asoc al funcio operativo de los servicios,30706.00,11142.13
2012,Gastos e inversiones de carácter inmaterial,0.00,0.00
2012,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2012,A la Administración del Estado,0.00,0.00
2012,A la Administración general de la CCAA,0.00,0.00
2012,Vehículos,0.00,0.00
2012,Concesión de préstamos fuera del sector primario,16000.00,17438.10
2012,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2012,Amortización de ope. Y prestamos en curso,539337.74,542653.83
2011,Órganos de gobierno personal directivo,94556.56,93458.21
2011,Personal funcionario,1200151.91,1033141.08
2011,Personal laboral,2002370.52,2713989.58
2011,Incentivos al rendimiento,126764.48,25108.45
2011,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1089953.37,1232311.82
2011,Arrendamientos y cánones,7500.00,4641.14
2011,"Reparaciones, mantenimientos y conservación",248587.24,291206.24
2011,"Material, suministros y otros",3554902.78,3649726.00
2011,Indemnizaciones por razón de servicio,42800.00,43907.01
2011,Gastos de edición y distribución,0.00,0.00
2011,Trasbajos realizados por AAPP. Y EEPP,0.00,0.00
2011,Trabajos realizados por instituciones sin fines de lucro,117500.00,101112.24
2011,De préstamos y otras operaciones financieras,125525.39,113367.80
2011,Intereses de demora y otros gastos financieros,30000.00,4856.96
2011,A la Administración del Estado,104379.35,120985.62
2011,A entidades locales,773347.74,764738.12
2011,A empresas privadas,0.00,1423.47
2011,A familias e instituciones sin ánimo de lucro,356342.00,297882.24
2011,Al exterior,6000.00,2394.96
2011,Fondo de contingencia,0.00,0.00
2011,Inversión nueva en bienes e infraestructuras de interés general,225293.36,219321.92
2011,Inversiones en reposición de infra. destinados al uso general,217132.20,203923.10
2011,Inversión nueva asociada al funcio. operativo de los servicios,307880.00,327111.98
2011,Inversión de reposición asoc al funcio operativo de los servicios,61005.00,366940.07
2011,Gastos e inversiones de carácter inmaterial,0.00,0.00
2011,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2011,A la Administración del Estado,0.01,0.00
2011,A la Administración general de la CCAA,0.00,0.00
2011,Vehículos,0.00,0.00
2011,Concesión de préstamos fuera del sector primario,36000.00,4902.96
2011,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2011,Amortización de ope. Y prestamos en curso,329670.35,325715.57
2010,Órganos de gobierno personal directivo,100847.74,83669.80
2010,Personal funcionario,1225177.16,907572.36
2010,Personal laboral,2004411.79,2530363.32
2010,Incentivos al rendimiento,132450.90,25777.99
2010,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1080063.36,1096589.44
2010,Arrendamientos y cánones,15220.00,4681.59
2010,"Reparaciones, mantenimientos y conservación",313100.00,251725.76
2010,"Material, suministros y otros",3183444.78,3026004.61
2010,Indemnizaciones por razón de servicio,54400.00,38789.63
2010,Gastos de edición y distribución,0.00,0.00
2010,Trasbajos realizados por AAPP. Y EEPP,0.00,0.00
2010,Trabajos realizados por instituciones sin fines de lucro,132500.00,37789.26
2010,De préstamos y otras operaciones financieras,154377.00,69414.85
2010,Intereses de demora y otros gastos financieros,13780.19,1947.23
2010,A la Administración del Estado,50000.00,11065.81
2010,A entidades locales,774664.38,493490.00
2010,A empresas privadas,0.00,0.00
2010,A familias e instituciones sin ánimo de lucro,381434.00,349291.77
2010,Al exterior,8000.00,1452.00
2010,Fondo de contingencia,0.00,0.00
2010,Inversión nueva en bienes e infraestructuras de interés general,0.00,1286287.15
2010,Inversiones en reposición de infra. destinados al uso general,409485.00,1067202.99
2010,Inversión nueva asociada al funcio. operativo de los servicios,811220.82,1102665.82
2010,Inversión de reposición asoc al funcio operativo de los servicios,320179.58,717875.94
2010,Gastos e inversiones de carácter inmaterial,0.00,42250.00
2010,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2010,A la Administración del Estado,1.00,0.00
2010,A la Administración general de la CCAA,0.00,0.00
2010,Vehículos,0.00,12000.00
2010,Concesión de préstamos fuera del sector primario,36000.00,16562.60
2010,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2010,Amortización de ope. Y prestamos en curso,266329.35,265555.05
